	C1_s0_L001_R1_001_trimmed.fastqS.bam	C2_s0_L001_R1_001_trimmed.fastqS.bam	C3_s1_L001_R1_001_trimmed.fastqS.bam	C4_s0_L002_R1_001_trimmed.fastqS.bam	C5_s0_L002_R1_001_trimmed.fastqS.bam	NLA1_s0_L001_R1_001_trimmed.fastqS.bam	NLA2_s1_L001_R1_001_trimmed.fastqS.bam	NLA3_s0_L002_R1_001_trimmed.fastqS.bam	NLA4_s0_L002_R1_001_trimmed.fastqS.bam	NLA5_s0_L002_R1_001_trimmed.fastqS.bam	PLS1_s0_L001_R1_001_trimmed.fastqS.bam	PLS2_s0_L001_R1_001_trimmed.fastqS.bam	PLS3_s0_L002_R1_001_trimmed.fastqS.bam	PLS4_s0_L002_R1_001_trimmed.fastqS.bam	PLS5_s0_L002_R1_001_trimmed.fastqS.bam
hsa-miR-4251	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4252	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4253	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4254	4	3	3	0	5	0	3	2	0	3	0	0	3	2	1
hsa-miR-4255	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
hsa-miR-4256	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4257	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4258	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0
hsa-miR-4259	6	8	7	3	4	2	1	3	3	9	5	7	8	7	9
hsa-miR-4260	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4261	2	0	1	0	2	0	0	1	0	0	0	0	2	0	1
hsa-miR-4262	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4263	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4265	1	3	1	0	3	0	0	1	0	0	0	0	0	0	0
hsa-miR-4266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4267	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-4268	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4269	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4270	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4271	0	2	1	0	2	0	5	1	2	0	0	0	0	0	1
hsa-miR-4272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4273	2	0	3	0	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-4274	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4276	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4277	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-4278	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4279	1	0	0	0	1	0	0	1	0	1	0	0	0	2	0
hsa-miR-4280	0	0	0	1	2	0	1	0	0	1	0	0	0	1	0
hsa-miR-4281	2	0	1	0	0	0	0	0	0	0	0	2	0	1	1
hsa-miR-4282	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4283	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-4284	10384	13931	10458	8274	9923	2348	2394	3017	2050	576	3650	1686	4178	2105	1398
hsa-miR-4285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4286	41	50	28	42	46	38	36	30	8	35	33	31	35	23	34
hsa-miR-4287	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4288	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4289	1	2	0	4	6	1	0	1	3	1	0	0	1	3	2
hsa-miR-429	71	82	71	33	42	40	36	34	17	34	23	28	35	30	20
hsa-miR-4290	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-4291	1	0	3	0	1	1	1	0	0	1	0	0	0	0	1
hsa-miR-4292	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4293	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
hsa-miR-4294	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4295	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4296	6	3	3	0	1	0	4	3	0	1	1	1	0	0	1
hsa-miR-4297	1	1	1	1	6	0	0	0	0	2	0	0	1	0	1
hsa-miR-4298	1	2	1	1	0	0	2	0	0	1	0	3	1	1	0
hsa-miR-4299	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-4300	4	1	0	1	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-4301	15596	17813	14967	10431	12219	7989	5656	5379	2962	1484	3860	5523	3595	1986	2279
hsa-miR-4302	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4303	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0
hsa-miR-4304	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4305	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-4306	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-4307	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4308	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4309	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1
hsa-miR-431-3p	162	167	116	186	219	117	115	88	36	37	135	169	149	32	18
hsa-miR-431-5p	22	21	9	13	10	8	6	6	0	2	13	10	5	2	1
hsa-miR-4310	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4311	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4312	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-4313	0	1	2	3	3	0	0	0	0	1	0	0	0	1	0
hsa-miR-4314	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4315	1	0	1	2	1	0	2	0	0	0	0	0	0	0	0
hsa-miR-4316	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4317	0	2	0	0	0	0	0	0	1	4	1	0	1	1	0
hsa-miR-4318	8	12	10	15	17	11	23	33	9	24	16	11	31	21	19
hsa-miR-4319	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-432-3p	5	8	6	5	3	3	0	4	1	4	6	3	5	1	0
hsa-miR-432-5p	405	450	386	450	559	237	263	204	100	207	269	308	248	79	27
hsa-miR-4320	1	0	1	2	0	0	0	1	0	0	0	0	0	2	0
hsa-miR-4321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4322	4	3	4	9	5	1	0	3	0	0	0	0	0	1	0
hsa-miR-4323	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1
hsa-miR-4324	6	3	3	7	5	0	3	7	3	2	3	2	5	5	1
hsa-miR-4325	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4326	13	16	13	14	6	24	34	21	9	4	8	14	14	9	2
hsa-miR-4327	0	1	2	0	3	0	0	0	0	0	0	1	0	0	0
hsa-miR-4328	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4329	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-433-3p	342	349	268	336	431	204	180	155	67	84	176	204	192	43	9
hsa-miR-433-5p	19	29	22	16	18	4	3	3	3	6	11	3	4	2	0
hsa-miR-4330	2	1	2	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-4417	8	6	8	7	10	3	8	1	0	4	3	1	4	3	3
hsa-miR-4418	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4419a	143	162	106	95	117	23	28	37	15	11	19	13	13	24	16
hsa-miR-4419b	8	13	9	3	9	2	0	8	0	3	1	2	3	4	1
hsa-miR-4420	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0
hsa-miR-4421	7	11	11	11	6	3	13	9	5	4	5	8	7	1	5
hsa-miR-4422	1	2	0	0	0	0	2	0	0	0	0	0	1	2	0
hsa-miR-4423-3p	0	0	0	1	0	0	0	1	0	0	2	1	0	3	3
hsa-miR-4423-5p	0	0	0	1	0	1	0	0	0	3	3	0	3	4	3
hsa-miR-4424	2	2	2	0	3	2	2	2	1	2	6	1	4	6	0
hsa-miR-4425	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4426	5	6	2	4	10	4	7	7	3	0	4	1	3	9	5
hsa-miR-4427	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-4428	1	3	2	1	1	0	1	0	0	0	0	1	0	0	0
hsa-miR-4429	1	0	0	0	0	1	3	3	1	0	0	1	0	1	0
hsa-miR-4430	5	13	10	6	4	2	2	0	4	0	0	0	2	2	0
hsa-miR-4431	0	0	0	1	1	3	0	4	2	1	2	1	3	3	4
hsa-miR-4432	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-4433a-3p	2	1	1	0	1	1	0	1	0	0	1	1	2	17	4
hsa-miR-4433a-5p	7	5	0	1	0	2	1	1	0	0	3	0	0	0	0
hsa-miR-4433b-3p	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4433b-5p	2	3	1	0	2	1	1	0	0	1	0	0	3	1	1
hsa-miR-4434	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4435	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4436a	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0
hsa-miR-4436b-3p	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4436b-5p	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-4437	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4438	1	1	0	2	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-4439	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4440	3	1	2	3	2	0	0	2	0	0	0	0	0	1	0
hsa-miR-4441	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4443	8	15	19	11	11	7	10	9	5	1	6	5	3	2	4
hsa-miR-4444	1	1	2	1	1	4	6	0	1	1	2	0	2	0	0
hsa-miR-4445-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4445-5p	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-4446-3p	8	6	4	11	13	0	9	4	2	6	4	4	5	2	2
hsa-miR-4446-5p	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-4447	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-4448	539	627	469	582	562	1154	1596	1264	860	1698	1107	1291	835	2117	2563
hsa-miR-4449	9	5	6	17	20	1	3	3	0	0	1	1	1	1	1
hsa-miR-4450	1	1	0	0	0	0	1	0	0	1	0	2	0	0	0
hsa-miR-4451	4	1	2	3	1	4	0	5	2	2	4	5	2	6	2
hsa-miR-4452	0	0	6	0	1	2	0	1	0	1	1	0	1	0	0
hsa-miR-4453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4454	289	404	274	384	464	308	531	491	197	507	465	404	325	280	126
hsa-miR-4455	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4456	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4457	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4458	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
hsa-miR-4459	37	39	42	30	46	6	12	9	7	15	5	0	5	6	6
hsa-miR-4460	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4461	46	48	37	23	25	10	5	6	3	3	11	14	27	22	5
hsa-miR-4462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4463	4	3	2	1	4	1	2	2	0	0	3	1	0	0	0
hsa-miR-4464	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-4465	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4466	0	6	2	0	3	0	1	1	1	1	3	1	2	0	0
hsa-miR-4467	0	1	2	0	0	0	2	0	0	0	0	0	1	0	0
hsa-miR-4468	0	0	2	1	1	1	0	0	2	0	0	0	0	0	0
hsa-miR-4469	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0
hsa-miR-4470	0	0	2	0	0	1	3	1	0	1	0	1	0	0	0
hsa-miR-4471	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4472	16	14	15	7	8	4	3	7	1	1	1	1	2	3	1
hsa-miR-4473	1	1	0	3	1	1	1	2	0	0	1	0	0	2	1
hsa-miR-4474-3p	2	1	1	0	3	2	0	4	0	8	0	5	4	1	0
hsa-miR-4474-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4475	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4476	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4477a	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0
hsa-miR-4477b	0	4	7	3	5	1	0	2	0	1	0	1	0	1	0
hsa-miR-4478	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4479	2	1	2	1	3	2	2	4	0	1	0	0	0	0	0
hsa-miR-448	17	8	11	33	40	35	8	7	2	6	20	27	33	2	2
hsa-miR-4480	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4481	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-4482-3p	1	0	0	12	18	0	1	1	0	3	0	0	0	3	1
hsa-miR-4482-5p	2	0	0	2	3	0	3	0	0	1	0	0	0	0	0
hsa-miR-4483	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4484	3	2	3	3	8	2	1	2	1	0	1	3	7	7	1
hsa-miR-4485-3p	800	880	713	196	237	64	54	59	31	19	77	45	76	34	34
hsa-miR-4485-5p	382	456	401	85	102	23	15	17	8	3	10	5	30	5	6
hsa-miR-4486	1	1	1	2	0	1	1	1	2	2	0	0	0	2	2
hsa-miR-4487	1	1	3	2	3	1	1	2	0	0	0	1	0	2	0
hsa-miR-4488	85	104	73	143	180	37	90	111	52	18	19	12	13	17	18
hsa-miR-4489	0	2	0	2	2	0	0	0	0	0	0	1	1	0	0
hsa-miR-4490	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4491	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2
hsa-miR-4492	30	35	37	58	81	14	57	55	16	26	3	7	10	47	21
hsa-miR-4493	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-4494	1	4	1	1	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-4495	1	1	0	1	0	0	1	0	0	0	0	1	1	0	0
hsa-miR-4496	10	6	13	8	9	4	3	6	4	2	2	1	1	1	1
hsa-miR-4497	9	16	15	14	8	10	7	17	20	16	9	16	30	94	31
hsa-miR-4498	1	2	0	1	3	0	1	0	0	0	0	0	0	0	0
hsa-miR-4499	10	5	9	7	5	0	0	0	1	0	0	1	1	1	0
hsa-miR-449a	6	8	4	13	25	8	8	9	0	12	22	10	17	2	2
hsa-miR-449b-3p	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-449b-5p	0	1	3	2	0	0	2	0	0	1	3	1	0	4	1
hsa-miR-449c-3p	1	1	2	0	1	0	1	0	0	0	0	0	1	0	0
hsa-miR-449c-5p	1	0	2	3	1	2	1	2	0	1	7	3	2	1	0
hsa-miR-4500	2	2	1	1	0	0	2	0	0	2	1	0	0	0	0
hsa-miR-4501	2	1	3	1	0	0	4	1	0	0	2	0	0	0	2
hsa-miR-4502	2	1	0	0	1	0	0	1	0	0	0	0	0	0	1
hsa-miR-4503	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4504	4	2	2	0	2	0	1	2	0	0	1	1	2	0	0
hsa-miR-4505	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-4506	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4507	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4508	18	43	23	36	55	39	41	38	25	11	7	3	6	97	35
hsa-miR-4509	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-450a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-450a-2-3p	3	0	0	0	2	0	0	1	0	0	2	0	0	0	0
hsa-miR-450a-5p	42	54	51	57	61	16	41	22	13	44	24	14	16	13	23
hsa-miR-450b-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-450b-5p	66	72	59	43	84	37	59	33	22	46	27	28	28	19	34
hsa-miR-4510	114	142	99	237	313	100	72	134	45	239	146	101	409	240	128
hsa-miR-4511	4	2	5	0	2	3	2	0	1	1	2	0	2	3	1
hsa-miR-4512	8	8	4	6	4	0	2	2	1	1	1	0	3	6	1
hsa-miR-4513	1	0	2	1	1	1	1	0	0	0	0	1	1	9	4
hsa-miR-4514	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4515	3	2	1	3	0	1	2	4	0	1	0	0	3	0	0
hsa-miR-4516	36	41	33	46	50	29	63	58	24	90	15	8	4	20	21
hsa-miR-4517	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-4518	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4519	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-451a	8489	9452	7617	6473	7343	5113	5994	5289	1852	3826	4621	4445	6271	9998	3445
hsa-miR-451b	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-452-3p	2	6	4	6	3	3	2	4	2	3	3	3	8	10	1
hsa-miR-452-5p	21	19	16	13	20	16	14	15	11	8	22	20	28	69	15
hsa-miR-4520-2-3p	0	2	4	0	1	0	0	0	1	0	0	0	0	0	0
hsa-miR-4520-3p	4	2	1	2	1	0	0	3	1	1	0	0	1	1	1
hsa-miR-4520-5p	0	0	2	0	0	0	1	2	0	0	1	2	0	0	0
hsa-miR-4521	1	1	0	1	2	1	0	4	1	1	1	0	1	0	2
hsa-miR-4522	1	2	0	1	0	1	0	1	0	1	0	1	0	1	0
hsa-miR-4523	3	4	1	4	5	1	6	3	0	2	1	0	1	1	0
hsa-miR-4524a-3p	3	9	2	5	10	2	0	2	0	0	0	1	1	0	1
hsa-miR-4524a-5p	1	3	1	1	2	3	2	1	2	2	0	0	2	2	0
hsa-miR-4524b-3p	1	2	1	1	1	0	0	0	0	0	0	0	0	3	1
hsa-miR-4524b-5p	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4525	3	4	6	3	8	6	3	4	0	0	2	2	6	1	0
hsa-miR-4526	1	1	2	1	0	2	3	1	0	2	1	1	0	1	1
hsa-miR-4527	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0
hsa-miR-4528	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
hsa-miR-4529-3p	0	2	0	1	1	2	7	2	0	1	2	0	2	1	1
hsa-miR-4529-5p	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-4530	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
hsa-miR-4531	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-4532	249	330	199	394	485	728	336	292	88	614	317	127	149	146	238
hsa-miR-4533	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4534	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
hsa-miR-4535	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4536-3p	1	1	0	0	2	1	1	1	0	1	0	1	2	0	0
hsa-miR-4536-5p	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-4537	2	2	0	0	3	1	1	0	0	0	0	0	0	0	0
hsa-miR-4538	2	0	3	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4539	0	1	2	2	0	0	1	1	0	1	0	1	0	0	0
hsa-miR-454-3p	1503	1729	1380	1204	1451	1099	604	564	379	873	887	829	1077	639	308
hsa-miR-454-5p	45	54	62	55	47	47	32	25	10	33	32	32	46	31	16
hsa-miR-4540	2	0	0	6	8	0	3	6	3	4	0	0	6	1	0
hsa-miR-455-3p	37	33	21	29	23	97	36	48	9	42	123	73	78	90	82
hsa-miR-455-5p	75	80	58	51	78	186	168	128	44	157	338	253	348	368	166
hsa-miR-4632-3p	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0
hsa-miR-4632-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4633-3p	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4633-5p	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4634	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1
hsa-miR-4635	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1
hsa-miR-4636	9	18	9	15	12	10	8	10	1	10	3	3	5	1	1
hsa-miR-4637	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4638-3p	8	10	2	2	5	1	1	8	0	0	1	3	1	1	1
hsa-miR-4638-5p	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-4639-3p	1	1	1	7	1	0	1	0	1	0	0	0	0	0	0
hsa-miR-4639-5p	4	8	5	2	5	1	4	4	0	0	0	1	0	0	0
hsa-miR-4640-3p	38	51	39	26	43	25	40	30	15	22	5	19	10	6	8
hsa-miR-4640-5p	5	3	3	3	0	3	2	2	2	2	6	4	1	2	2
hsa-miR-4641	1	1	2	3	1	0	1	0	1	0	0	1	0	0	0
hsa-miR-4642	1	0	3	2	0	2	3	2	0	0	0	0	0	0	0
hsa-miR-4643	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4644	0	2	0	2	0	0	1	1	1	0	0	1	0	0	0
hsa-miR-4645-3p	3	5	4	2	7	3	5	3	3	12	7	4	6	5	4
hsa-miR-4645-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4646-3p	1	5	3	8	9	2	5	1	2	2	0	3	0	2	3
hsa-miR-4646-5p	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0
hsa-miR-4647	3	1	2	0	1	2	1	0	0	0	0	2	1	2	1
hsa-miR-4648	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1
hsa-miR-4649-3p	2	1	0	0	4	1	1	1	0	1	1	3	4	1	0
hsa-miR-4649-5p	2	0	0	0	0	0	0	0	0	0	0	0	1	2	1
hsa-miR-4650-3p	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4650-5p	2	9	3	1	1	2	1	0	0	0	0	0	0	1	0
hsa-miR-4651	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0
hsa-miR-4652-3p	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-4652-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4653-3p	0	1	2	0	0	0	1	0	0	0	0	0	0	2	0
hsa-miR-4653-5p	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4654	2	5	2	0	1	0	0	0	0	1	1	0	1	3	2
hsa-miR-4655-3p	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4655-5p	1	3	2	0	2	0	0	0	0	0	0	0	1	0	0
hsa-miR-4656	2	0	1	1	1	0	2	1	0	0	1	0	0	0	1
hsa-miR-4657	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
hsa-miR-4658	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0
hsa-miR-4659a-3p	2	3	0	0	3	1	0	1	0	0	2	0	0	1	0
hsa-miR-4659a-5p	0	1	3	0	2	0	0	1	0	3	0	1	0	1	0
hsa-miR-4659b-3p	0	2	3	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-4659b-5p	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-466	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-4660	3	1	1	2	0	1	2	1	0	2	1	0	0	0	1
hsa-miR-4661-3p	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4661-5p	2	5	6	3	3	2	2	4	2	0	0	2	2	1	0
hsa-miR-4662a-3p	1	0	1	2	1	0	0	1	0	0	1	0	0	0	0
hsa-miR-4662a-5p	37	38	37	42	49	6	13	18	4	9	6	3	24	11	3
hsa-miR-4662b	0	1	1	2	1	0	0	0	0	0	0	0	2	0	0
hsa-miR-4663	0	2	1	2	0	1	1	0	0	1	0	0	0	0	0
hsa-miR-4664-3p	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-4664-5p	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-4665-3p	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0
hsa-miR-4665-5p	0	0	0	0	3	0	1	1	1	2	0	0	0	0	0
hsa-miR-4666a-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4666a-5p	0	1	1	1	0	0	2	4	2	5	2	2	4	0	1
hsa-miR-4666b	4	2	2	3	2	0	2	1	0	2	0	0	0	0	0
hsa-miR-4667-3p	3	0	1	1	1	1	2	1	0	0	0	1	1	2	0
hsa-miR-4667-5p	1	2	1	2	2	1	2	2	0	0	1	1	3	2	0
hsa-miR-4668-3p	0	1	0	0	0	0	0	2	1	1	0	1	0	3	1
hsa-miR-4668-5p	2	2	4	2	1	3	1	3	0	0	2	1	2	1	3
hsa-miR-4669	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-4670-3p	1	1	0	1	2	1	0	0	0	2	4	5	1	4	2
hsa-miR-4670-5p	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-4671-3p	7	4	5	4	4	1	0	1	0	4	1	3	1	1	0
hsa-miR-4671-5p	2	0	0	2	1	1	0	0	1	0	0	0	0	0	0
hsa-miR-4672	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-4673	1	2	3	2	1	0	1	1	0	1	0	1	0	2	0
hsa-miR-4674	70	71	48	75	97	36	58	49	31	95	10	10	21	176	60
hsa-miR-4675	3	2	1	7	4	3	6	4	0	1	1	4	2	6	4
hsa-miR-4676-3p	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4676-5p	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1
hsa-miR-4677-3p	71	85	69	75	90	69	81	80	44	43	52	50	104	75	45
hsa-miR-4677-5p	1	6	2	1	3	1	3	1	1	2	0	2	1	1	3
hsa-miR-4678	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
hsa-miR-4679	3	2	1	1	2	3	3	5	1	3	3	3	3	2	5
hsa-miR-4680-3p	0	1	1	0	1	2	0	0	0	0	0	1	0	0	0
hsa-miR-4680-5p	1	0	2	1	0	0	0	0	0	1	1	1	0	1	0
